調查日期,國道編號方向,樁號,里程,原始坐標E,原始坐標N,經緯度坐標Lon,經緯度坐標Lat,鋪面種類,路幅寬,全路幅寬,車道數,車道1寬,車道2寬,車道3寬,車道4寬,車道5寬,車道6寬,槽化區,槽化區寬,內路肩,內路肩寬,外路肩,外路肩寬,輔助車道1,輔助車道1寬,輔助車道2,輔助車道2寬,輔助車道3,輔助車道3寬,避車彎,曲率半徑,縱向坡度,橫向坡度
2022/4/25,N0010_SB,035K+600,35600,291829.358,2772591.774,121.4146007,25.06094227,柔性,17.136,17.136,3,3.743,3.757,3.721,0.0,0.0,0.0,無,0.0,有,2.068,有,3.848,無,0.0,無,0.0,無,0.0,無,45256.59,0.016,-0.033
2022/4/25,N0010_SB,035K+650,35650,291775.361,2772575.892,121.414065,25.06080039,柔性,17.01,17.01,3,3.772,3.724,3.774,0.0,0.0,0.0,無,0.0,有,2.026,有,3.714,無,0.0,無,0.0,無,0.0,無,86966.66,0.025,-0.023
2022/4/25,N0010_SB,035K+700,35700,291731.143,2772545.759,121.4136258,25.06052956,柔性,17.054,17.054,3,3.746,3.778,3.731,0.0,0.0,0.0,無,0.0,有,2.054,有,3.746,無,0.0,無,0.0,無,0.0,無,24026.82,0.025,-0.011
2022/4/25,N0010_SB,035K+750,35750,291691.663,2772518.642,121.4132337,25.06028583,柔性,17.03,17.03,3,3.799,3.698,3.823,0.0,0.0,0.0,無,0.0,有,2.027,有,3.683,無,0.0,無,0.0,無,0.0,無,46097.96,0.027,-0.009
2022/4/25,N0010_SB,035K+800,35800,291652.144,2772491.62,121.4128412,25.06004297,柔性,17.031,17.031,3,3.785,3.755,3.751,0.0,0.0,0.0,無,0.0,有,2.009,有,3.731,無,0.0,無,0.0,無,0.0,無,28088.76,0.028,-0.01
2022/4/25,N0010_SB,035K+850,35850,291610.837,2772463.26,121.4124309,25.05978807,柔性,17.222,17.222,3,3.752,3.777,3.75,0.0,0.0,0.0,無,0.0,有,2.053,有,3.89,無,0.0,無,0.0,無,0.0,無,316971.4,0.028,-0.006
2022/4/25,N0010_SB,035K+900,35900,291569.505,2772434.936,121.4120204,25.0595335,柔性,17.338,17.338,3,3.729,3.753,3.748,0.0,0.0,0.0,無,0.0,有,2.018,有,4.091,無,0.0,無,0.0,無,0.0,無,62364.52,0.028,-0.003
2022/4/25,N0010_SB,035K+950,35950,291529.519,2772407.559,121.4116232,25.05928744,柔性,17.886,17.886,3,3.772,3.738,3.789,0.0,0.0,0.0,無,0.0,有,2.271,有,4.317,無,0.0,無,0.0,無,0.0,無,33314.89,0.028,-0.007
2022/4/25,N0010_SB,036K+000,36000,291489.151,2772380.554,121.4112223,25.05904474,柔性,17.916,17.916,3,3.73,3.809,3.784,0.0,0.0,0.0,無,0.0,有,2.157,有,4.436,無,0.0,無,0.0,無,0.0,無,25632.55,0.028,-0.006
2022/4/25,N0010_SB,036K+050,36050,291449.13,2772351.926,121.4108248,25.05878738,柔性,17.327,28.301,3,3.905,3.802,3.806,0.0,0.0,0.0,無,0.0,有,1.636,有,4.177,無,0.0,無,0.0,無,0.0,無,20188.83,0.029,-0.016
2022/4/25,N0010_SB,036K+100,36100,291402.009,2772333.577,121.4103572,25.05862301,柔性,12.481,27.632,3,3.964,3.762,3.836,0.0,0.0,0.0,有,3.841,有,0.918,無,0.0,無,0.0,無,0.0,無,0.0,無,26527.96,0.03,-0.011
2022/4/25,N0010_SB,036K+150,36150,291368.996,2772291.726,121.4100288,25.05824609,柔性,12.447,25.869,3,3.993,3.678,3.841,0.0,0.0,0.0,有,1.611,有,0.934,無,0.0,無,0.0,無,0.0,無,0.0,無,1040.094,0.029,-0.013
2022/4/25,N0010_SB,036K+200,36200,291320.16,2772272.708,121.4095442,25.05807572,柔性,12.27,25.764,3,3.748,3.743,3.79,0.0,0.0,0.0,有,0.45,有,0.989,無,0.0,無,0.0,無,0.0,無,0.0,無,1136.76,0.028,-0.012
2022/4/25,N0010_SB,036K+250,36250,291276.099,2772241.567,121.4091065,25.05779578,柔性,23.752,26.072,5,3.883,3.786,3.818,0.0,0.0,0.0,無,0.0,有,1.013,有,3.53,加速車道,4.191,加速車道,3.53,無,0.0,無,3656.82,0.028,-0.025
2022/4/25,N0010_SB,036K+300,36300,291229.723,2772208.93,121.4086459,25.0575024,柔性,22.58,25.972,5,3.888,3.741,3.911,0.0,0.0,0.0,無,0.0,有,0.904,有,4.143,加速車道,3.859,加速車道,2.133,無,0.0,無,3668.146,0.03,-0.02
2022/4/25,N0010_SB,036K+350,36350,291188.905,2772179.609,121.4082405,25.0572388,柔性,21.795,26.138,5,3.947,3.79,3.906,0.0,0.0,0.0,無,0.0,有,0.879,有,4.701,加速車道,3.809,加速車道,0.763,無,0.0,無,1608.682,0.029,-0.022
2022/4/25,N0010_SB,036K+400,36400,291147.791,2772151.279,121.4078321,25.05698416,柔性,21.205,21.205,4,3.943,3.749,3.978,0.0,0.0,0.0,無,0.0,有,0.896,有,4.927,加速車道,3.712,無,0.0,無,0.0,無,1900.225,0.028,-0.021
2022/4/25,N0010_SB,036K+450,36450,291104.946,2772123.536,121.4074067,25.05673485,柔性,21.114,21.114,4,3.744,3.726,3.842,0.0,0.0,0.0,無,0.0,有,1.134,有,4.868,加速車道,3.799,無,0.0,無,0.0,無,1020.517,0.028,-0.034
2022/4/25,N0010_SB,036K+500,36500,291061.297,2772097.492,121.4069733,25.05650091,柔性,21.201,21.201,4,3.787,3.734,3.838,0.0,0.0,0.0,無,0.0,有,1.055,有,4.892,加速車道,3.895,無,0.0,無,0.0,無,910.549,0.028,-0.048
2022/4/25,N0010_SB,036K+550,36550,291009.75,2772069.862,121.4064616,25.05625287,柔性,21.281,21.281,4,3.781,3.759,3.837,0.0,0.0,0.0,無,0.0,有,1.022,有,5.034,加速車道,3.847,無,0.0,無,0.0,無,774.629,0.028,-0.057
2022/4/25,N0010_SB,036K+600,36600,290956.702,2772046.318,121.4059351,25.05604175,柔性,21.293,21.293,4,3.843,3.73,3.878,0.0,0.0,0.0,無,0.0,有,1.066,有,4.945,加速車道,3.832,無,0.0,無,0.0,無,686.453,0.029,-0.074
2022/4/25,N0010_SB,036K+650,36650,290908.374,2772027.765,121.4054556,25.05587555,柔性,21.033,21.033,4,3.872,3.734,3.944,0.0,0.0,0.0,無,0.0,有,1.016,有,4.648,加速車道,3.818,無,0.0,無,0.0,無,813.634,0.03,-0.075
2022/4/25,N0010_SB,036K+700,36700,290858.599,2772013.794,121.4049618,25.05575077,柔性,21.118,21.118,4,3.688,3.819,3.838,0.0,0.0,0.0,無,0.0,有,1.092,有,4.772,加速車道,3.909,無,0.0,無,0.0,無,620.912,0.03,-0.077
2022/4/25,N0010_SB,036K+750,36750,290816.546,2772005.103,121.4045448,25.05567345,柔性,21.682,21.682,4,3.812,3.751,3.742,0.0,0.0,0.0,無,0.0,有,1.44,有,5.026,加速車道,3.913,無,0.0,無,0.0,無,652.953,0.03,-0.073
2022/4/25,N0010_SB,036K+800,36800,290774.027,2771999.199,121.4041232,25.05562129,柔性,21.507,21.507,4,3.754,3.693,3.887,0.0,0.0,0.0,無,0.0,有,1.574,有,4.638,加速車道,3.961,無,0.0,無,0.0,無,714.898,0.029,-0.069
2022/4/25,N0010_SB,036K+850,36850,290726.23,2771995.524,121.4036494,25.0555894,柔性,21.117,21.117,4,3.844,3.69,3.974,0.0,0.0,0.0,無,0.0,有,1.072,有,4.749,加速車道,3.787,無,0.0,無,0.0,無,668.7,0.03,-0.068
