0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,144,144,144,7,7,7,144,14,144,144,144,144,144,144
1,144,144,144,7,7,7,144,15,144,144,144,144,144,144
1,144,144,144,7,7,7,144,15,144,144,144,144,144,144
1,144,0,144,7,7,7,144,15,144,144,144,144,144,144
1,144,0,144,7,7,144,144,15,144,144,144,144,144,144
2,0,0,144,7,7,144,144,144,144,144,144,144,144,144
0,0,0,144,7,144,144,144,144,21,144,0,144,144,144
0,0,0,144,144,144,144,144,144,21,144,0,144,144,144
0,0,144,144,144,144,144,14,14,21,144,0,144,144,144
0,0,144,144,144,144,144,15,14,21,144,0,144,144,144
0,0,144,1,144,144,144,14,14,21,144,0,144,144,144
0,0,144,1,144,144,144,14,14,21,144,1,144,144,144
0,144,144,1,144,144,144,14,14,21,144,1,144,144,144
0,144,144,19,144,7,144,14,14,21,144,1,144,144,144
144,144,144,20,7,7,144,14,14,144,144,1,144,144,144
144,144,144,21,7,7,144,14,144,144,144,71,144,144,144
144,144,144,0,7,7,144,14,144,144,144,144,144,144,144
144,144,144,0,7,7,144,15,144,144,144,144,144,144,144
0,0,144,0,7,7,144,144,144,144,144,0,144,144,144
144,0,144,0,7,144,144,144,144,144,144,0,144,144,144
144,0,144,0,7,144,144,144,144,144,144,0,144,144,144
0,144,144,0,7,144,8,144,14,144,144,0,144,144,144
0,144,144,0,144,144,8,144,144,144,144,0,144,144,144
0,144,0,144,144,144,19,14,14,144,144,0,144,144,144
0,144,0,144,144,144,20,14,14,144,144,0,144,144,144
0,144,1,144,144,144,21,14,14,144,144,144,144,144,144
0,144,1,144,7,144,7,14,14,144,144,144,144,144,144
0,144,1,144,144,144,7,14,14,144,144,144,144,144,144
144,144,1,144,144,144,7,14,14,144,144,144,144,144,144
144,144,14,144,7,144,7,14,14,144,144,144,144,144,144
144,144,15,0,7,144,7,14,144,144,144,0,144,144,144
144,144,16,0,7,144,7,144,144,144,144,144,144,144,144
144,144,0,0,144,144,7,144,144,23,144,0,144,144,144
0,144,0,0,144,144,144,144,144,21,144,0,144,144,144
